"site","caldate","nObs"
"UCKearney",2019-10-14,48
"UCKearney",2019-10-15,48
"UCKearney",2019-10-16,47
"UCKearney",2019-10-17,47
"UCKearney",2019-10-19,48
"UCKearney",2019-10-20,44
"UCKearney",2019-10-21,48
"UCKearney",2019-10-22,48
"UCKearney",2019-10-23,47
"UCKearney",2019-10-24,46
"UCKearney",2019-10-25,47
"UCKearney",2019-10-26,47
"UCKearney",2019-10-27,44
"UCKearney",2019-10-28,46
"UCKearney",2019-10-29,44
"UCKearney",2019-10-30,47
"UCKearney",2019-10-31,47
"UCKearney",2019-11-01,47
"UCKearney",2019-11-02,48
"UCKearney",2019-11-03,48
"usda",2019-04-27,48
"usda",2019-04-28,48
"usda",2019-04-29,48
"usda",2019-04-30,49
"usda",2019-05-01,48
"usda",2019-05-02,48
"usda",2019-05-03,49
"usda",2019-05-04,48
"usda",2019-05-05,48
"usda",2019-05-06,48
"usda",2019-05-07,48
"usda",2019-05-08,48
"usda",2019-05-09,48
"usda",2019-05-10,47
"usda",2019-05-11,47
"usda",2019-05-12,48
"usda",2019-05-13,48
"usda",2019-05-14,48
"usda",2019-05-15,48
"usda",2019-05-16,49
"usda",2019-05-17,48
"usda",2019-05-18,48
"usda",2019-05-19,47
"usda",2019-05-20,48
"usda",2019-05-21,48
"usda",2019-05-22,46
"usda",2019-05-23,48
"usda",2019-05-24,48
"usda",2019-05-25,48
"usda",2019-05-26,48
"usda",2019-05-27,48
"usda",2019-05-28,46
"usda",2019-05-29,48
"usda",2019-05-30,47
"usda",2019-05-31,48
"usda",2019-06-01,48
"usda",2019-06-02,47
"usda",2019-06-03,48
"usda",2019-06-04,48
"usda",2019-06-05,49
"usda",2019-06-06,47
"usda",2019-06-07,47
"usda",2019-06-08,48
"usda",2019-06-09,48
"usda",2019-06-10,48
"usda",2019-06-11,48
"usda",2019-06-12,47
"usda",2019-06-13,47
"usda",2019-06-14,48
"usda",2019-06-15,47
"usda",2019-06-16,48
"usda",2019-06-17,48
"usda",2019-06-18,48
"usda",2019-06-19,48
"usda",2019-06-20,48
"usda",2019-06-21,48
"usda",2019-06-22,48
"usda",2019-06-23,48
"usda",2019-06-24,47
"usda",2019-06-25,47
"usda",2019-06-26,48
"usda",2019-06-27,48
"usda",2019-06-28,49
"usda",2019-06-29,48
"usda",2019-06-30,48
"usda",2019-07-01,47
"usda",2019-07-02,47
"usda",2019-07-03,49
"usda",2019-07-04,48
"usda",2019-07-05,48
"usda",2019-07-06,48
"usda",2019-07-07,47
"usda",2019-07-08,47
"usda",2019-07-09,50
"usda",2019-07-10,49
"usda",2019-07-11,48
"usda",2019-07-12,49
"usda",2019-07-13,48
"usda",2019-07-14,48
"usda",2019-07-15,48
"usda",2019-07-16,48
"usda",2019-07-17,48
"usda",2019-07-18,47
"usda",2019-07-19,48
"usda",2019-07-20,48
"usda",2019-07-21,49
"usda",2019-07-22,48
"usda",2019-07-23,50
"usda",2019-07-24,48
"usda",2019-07-25,48
"usda",2019-07-26,48
"usda",2019-07-27,47
"usda",2019-07-28,49
"usda",2019-07-29,48
"usda",2019-07-30,48
"usda",2019-07-31,47
"usda",2019-08-01,48
"usda",2019-08-02,48
"usda",2019-08-03,48
"usda",2019-08-04,48
"usda",2019-08-05,49
"usda",2019-08-06,48
"usda",2019-08-07,49
"usda",2019-08-08,48
"usda",2019-08-09,48
"usda",2019-08-10,47
"usda",2019-08-11,48
"usda",2019-08-12,49
"usda",2019-08-13,49
"usda",2019-08-14,48
"usda",2019-08-15,47
"usda",2019-08-16,49
"usda",2019-08-17,48
"usda",2019-08-18,49
"usda",2019-08-19,48
"usda",2019-08-20,49
"usda",2019-08-21,48
"usda",2019-08-22,48
"usda",2019-08-23,49
"usda",2019-08-24,48
"usda",2019-08-25,48
"usda",2019-08-26,47
"usda",2019-08-27,48
"usda",2019-08-28,48
"usda",2019-08-29,49
"usda",2019-08-30,48
"usda",2019-08-31,48
"usda",2019-09-01,47
"usda",2019-09-02,48
"usda",2019-09-03,48
"usda",2019-09-05,49
"usda",2019-09-06,49
"usda",2019-09-07,48
"usda",2019-09-08,48
"usda",2019-09-09,48
"usda",2019-09-11,48
"usda",2019-09-12,49
"usda",2019-09-13,48
