"site2","Yr","Mnth.x","Julian","Hr","count","Mnth.y","degc_avg"
"A",2019,"Jun",154,9,0,"Jun",27.2166666666667
"A",2019,"Jun",154,10,0,"Jun",28.5111111111111
"A",2019,"Jun",154,11,0,"Jun",30.8166666666667
"A",2019,"Jun",154,12,0,"Jun",32.4333333333333
"A",2019,"Jun",154,13,0,"Jun",33.55
"A",2019,"Jun",154,14,0,"Jun",33.7666666666667
"A",2019,"Jun",154,15,0,"Jun",33.6277777777778
"A",2019,"Jun",154,16,0,"Jun",32.8611111111111
"A",2019,"Jun",154,17,0,"Jun",31.3444444444444
"A",2019,"Jun",154,18,0,"Jun",29.4388888888889
"A",2019,"Jun",154,19,0,"Jun",26.8722222222222
"A",2019,"Jun",154,20,0,"Jun",23.7166666666667
"A",2019,"Jun",154,21,0,"Jun",22.3055555555556
"A",2019,"Jun",154,22,0,"Jun",21.8833333333333
"A",2019,"Jun",154,23,0,"Jun",22.2333333333333
"A",2019,"Jun",155,0,0,"Jun",21.5222222222222
"A",2019,"Jun",155,1,0,"Jun",21.3222222222222
"A",2019,"Jun",155,2,0,"Jun",21.3444444444444
"A",2019,"Jun",155,3,0,"Jun",20.4611111111111
"A",2019,"Jun",155,4,3,"Jun",19.4333333333333
"A",2019,"Jun",155,5,3,"Jun",18.8666666666667
"A",2019,"Jun",155,6,0,"Jun",20.1111111111111
"A",2019,"Jun",155,7,0,"Jun",23.8111111111111
"A",2019,"Jun",155,8,0,"Jun",28.3222222222222
"A",2019,"Jun",155,9,0,"Jun",32.1444444444444
"A",2019,"Jun",155,10,0,"Jun",33.4333333333333
"A",2019,"Jun",155,11,0,"Jun",34.2611111111111
"A",2019,"Jun",155,12,0,"Jun",35.4611111111111
"A",2019,"Jun",155,13,0,"Jun",36.4333333333333
"A",2019,"Jun",155,14,0,"Jun",35.8388888888889
"A",2019,"Jun",155,15,0,"Jun",35.7277777777778
"A",2019,"Jun",155,16,0,"Jun",35.1944444444444
"A",2019,"Jun",155,17,0,"Jun",32.5444444444444
"A",2019,"Jun",155,18,0,"Jun",30.0888888888889
"A",2019,"Jun",155,19,0,"Jun",26.9166666666667
"A",2019,"Jun",155,20,0,"Jun",24.7166666666667
"A",2019,"Jun",155,21,0,"Jun",23.7444444444444
"A",2019,"Jun",155,22,0,"Jun",23.0277777777778
"A",2019,"Jun",155,23,0,"Jun",22.3666666666667
"A",2019,"Jun",156,0,0,"Jun",22.9055555555556
"A",2019,"Jun",156,1,0,"Jun",23.0222222222222
"A",2019,"Jun",156,2,0,"Jun",21.7055555555556
"A",2019,"Jun",156,3,0,"Jun",20.8722222222222
"A",2019,"Jun",156,4,1,"Jun",19.6611111111111
"A",2019,"Jun",156,5,0,"Jun",19.6944444444444
"A",2019,"Jun",156,6,0,"Jun",21.7444444444444
"A",2019,"Jun",156,7,0,"Jun",25.4611111111111
"A",2019,"Jun",156,8,0,"Jun",29.0333333333333
"A",2019,"Jun",156,9,0,"Jun",33.3277777777778
"A",2019,"Jun",156,10,0,"Jun",35.0722222222222
"A",2019,"Jun",156,11,0,"Jun",37.0388888888889
"A",2019,"Jun",156,12,0,"Jun",37.4055555555556
"A",2019,"Jun",156,13,0,"Jun",38.3722222222222
"A",2019,"Jun",156,14,0,"Jun",39.1666666666667
"A",2019,"Jun",156,15,0,"Jun",39.7777777777778
"A",2019,"Jun",156,16,0,"Jun",37.4722222222222
"A",2019,"Jun",156,17,0,"Jun",33.7166666666667
"A",2019,"Jun",156,18,0,"Jun",30.6388888888889
"A",2019,"Jun",156,19,0,"Jun",28.35
"A",2019,"Jun",156,20,0,"Jun",26.1666666666667
"A",2019,"Jun",156,21,0,"Jun",25.0166666666667
"A",2019,"Jun",156,22,0,"Jun",23.9333333333333
"A",2019,"Jun",156,23,0,"Jun",23.5444444444444
"A",2019,"Jun",157,0,0,"Jun",22.6611111111111
"A",2019,"Jun",157,1,0,"Jun",21.6888888888889
"A",2019,"Jun",157,2,0,"Jun",20.9166666666667
"A",2019,"Jun",157,3,0,"Jun",19.7277777777778
"A",2019,"Jun",157,4,1,"Jun",18.8055555555556
"A",2019,"Jun",157,5,0,"Jun",18.2888888888889
"A",2019,"Jun",157,6,0,"Jun",20.0611111111111
"A",2019,"Jun",157,7,0,"Jun",23.6444444444444
"A",2019,"Jun",157,8,0,"Jun",26.3888888888889
"A",2019,"Jun",157,9,0,"Jun",29.6555555555556
