"datetime","pest_nmbr","pest_dif","reviewed","event","site"
2019-05-05 16:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-05 17:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-05 18:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-05 19:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-05 20:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-05 21:01:00,3,0,"Yes",NA,"UCKearney"
2019-05-05 21:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-05 22:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-05 23:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 00:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 01:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 02:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 03:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 04:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 05:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 06:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 07:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 08:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 09:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 10:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 11:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 12:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 13:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 14:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 15:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 16:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 17:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 19:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 20:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 21:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 22:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 22:55:00,3,0,"Yes",NA,"UCKearney"
2019-05-06 23:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 00:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 01:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 02:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 03:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 04:57:00,3,0,"Yes",NA,"UCKearney"
